"","QUANT003","QUANT005","QUANT006","QUANT007","QUANT008","QUANT009","QUANT010","QUANT011","QUANT012","QUANT013","QUANT018","QUANT020","QUANT021","QUANT022","QUANT026","QUANT027","QUANT028","QUANT035","QUANT036","QUANT037","QUANT038","QUANT039","QUANT040","QUANT041","QUANT042","QUANT043","QUANT029","QUANT030","QUANT031","QUANT032","QUANT033","QUANT034","QUANT001","QUANT002","QUANT004","QUANT014","QUANT015","QUANT016","QUANT017","QUANT019","QUANT023","QUANT024","QUANT025"
"AML_007_post5",0,0,0,0,0,0,0,0,0,0.30069,0,0,0,0.15513,0,0.05,0,0.15,2.21,0,0,79.01,0,0,53.51,76.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post11",0,0,0,0,0,0.15283,0.07342,0,0.08897,0,0,0,0.02001,0.01939,0,0.04,0.01,0.11,1.92,0,0,87.6,0,0,50.33,101.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post12",0,0,0,0,0.02447,0.10188,0,0,0.71174,0,0.02547,0,0.20012,0,0.05094,0.04,0.01,0.13,2.59,0,0,79.4,0,0,45.53,79.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post8",0,0,0,0,0,0.05094,0.07342,0,0,0,0,0,0,0,0,0.05,0.01,0.12,2.14,0,0,84.15,0,0,48.7,84.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_011_post125",0,0,0,0.00816,0,0.07641,0.04895,0.15283,0.31139,0.06443,0,0.00885,0,0,0.76414,0.03,0.01,0.03,1.21,0,0,64.26,0.01,0,45.52,60.52,0,0.94,0,0.05,0.56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post26",3.01655,2.66765,2.735,2.88791,2.76554,3.56597,3.23054,2.52165,2.86922,3.17869,2.31788,3.10674,1.20072,1.66764,2.92919,0.09,0.01,0.32,4.15,0,0,76.26,0,0,39.08,80.35,0,4.36,0,0.52,7.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_008_post5",2.98986,2.66765,2.735,2.88791,2.76554,3.51503,3.10817,2.52165,1.62367,2.08333,2.31788,3.10674,0,0,2.92919,0.03,0.01,0.04,1.04,0,0,49.5,0,0,49.48,81.7,0,4.52,0,0.4,4.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post21",0,0,0,0,0,0,0,0,0.13345,0,0,0,0,0,0,0.08,0.01,0.25,3.15,0,0,96.32,0,0,34.47,98.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_002_post97",0.61399,0.97895,0.87626,1.07685,0.95448,1.24809,1.0279,1.12073,0.53381,0.53694,0.84055,0.95592,0.1601,0.09696,0.96791,0.04,0.01,0.07,1.67,0.01,0.01,73.88,0.03,0.01,50.38,84.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post22",0,0,0,0,0,0,0.31816,0,0.66726,0.75172,0,0,0.78047,1.02773,0,0.1,0.01,0.23,3.2,0,0,91.57,0,0,33.71,98.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_004_post96",0.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,1.25,0,0,58.69,0,0,38.27,63.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_008_post1",2.98986,2.66765,2.735,2.88791,2.79001,3.5405,3.13265,2.57259,2.2242,2.36254,2.31788,3.10674,0,0,2.98013,0.04,0.09,0.09,1.26,0,0,71.63,0,0,40.88,57.09,0,9.89,0,0.5,6.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post25",3.01655,2.66765,2.735,2.88791,2.79001,3.51503,3.15712,2.52165,2.20196,2.57732,2.31788,3.10674,0.32019,0.52356,2.92919,0.08,0.01,0.33,3.68,0,0,79.54,0,0,37.62,84.61,0,3.23,0,0.41,7.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post15",0.0267,0,0,0,0,0.86602,0.48948,0.33113,0.86744,0.64433,0,0,1.8411,0.6593,0.10188,0.03,0.01,0.12,2.08,0,0,81.61,0,0,32.03,80.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post20",0,0,0,0,0,0,0,0,0,0,0,0,0,0.05817,0,0.08,0.01,0.26,2.94,0,0,100.48,0,0,32.22,93.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post28",3.01655,2.66765,2.735,2.88791,2.79001,3.56597,3.1816,2.52165,2.89146,3.20017,2.31788,3.10674,1.24074,1.64825,2.92919,0.09,0.01,0.32,4.86,0,0,68.35,0,0,39.39,86.1,0,3.88,0,0.41,8.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post18",0,0,0,0,0,0,0.12237,0,0,0.83763,0,0,0.32019,0.63991,0,0.06,0.01,0.25,2.77,0,0,105.82,0,0,31.84,86.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post102",0,0,0,0.00816,0,0.28018,0.07342,0,1.42349,0.45103,0,0.00885,0,0,5.27254,0.07,0.01,0.05,1.51,0,0,53.72,0,0,34.78,46.97,0,0.84,0,0.05,0.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post109",0,0,0,0.00816,0,0.84055,0.17132,0,1.93505,0.62285,0,0,0.18011,0,4.07539,0.05,0.02,0.04,1.6,0,0,67.86,0,0,28.05,69.41,0,0.37,0,0.04,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_004_post265",0,0,0,0.00816,0,0.12736,0.02447,0,0.75623,0.04296,0,0,0,0,1.40092,0.04,0.03,0.08,1.33,0.01,0,91.46,0,0,20.59,62.51,0,1.87,0,0.04,0.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post110",0,0,0,0.00816,0,0.89149,0.14684,0,1.64591,0.73024,0,0,0.06004,0,3.1839,0.03,0.01,0.03,1.37,0,0,64.07,0,0,26.12,54.79,0,0.17,0,0.04,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post104",0,0,0,0.00816,0,0.07641,0.07342,0,0.8452,0.32216,0,0,0,0,1.09526,0.07,0.04,0.04,1.38,0,0,48.99,0,0,33.37,47.05,0,0.72,0,0.05,0.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_010_post147",0,0,0,0.00816,0,0,0.02447,0,0.37811,0.3866,0,0.00885,0,0,0,0,0,0.03,1.13,0,0,53.07,0,0,28.81,51.7,0,0.73,0,0.04,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post105",0,0,0,0.00816,0,0.12736,0.0979,0,2.13523,1.03093,0,0,0.10006,0.01939,1.91034,0.07,0.01,0.05,1.85,0,0,55.5,0,0,32.94,44.91,0,0.9,0,0.06,0.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_004_post49",0,0,0,0,0,0,0,0,0.75623,0.08591,0,0,0.14008,0.01939,0,0.03,0.01,0.04,1.41,0,0,76.56,0.01,0,42.63,67.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post14",0,0,0,0,0,0.05943,0,0.02547,0.64502,0.30069,0,0,0,0,0,0.02,0,0.02,1.1,0,0,54.5,0,0,46.89,84.89,0,0.77,0,0.04,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post19",0,0,0,0,0,0.0849,0,0.05094,2.55783,1.439,0,0.0177,0.38023,0.17452,0,0.03,0,0.01,0.93,0,0,58.83,0,0,22.04,35.23,0,0.41,0,0.03,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post11",0,0,0,0,0,0.2632,0,0.15283,0.08897,0.04296,0,0,0,0,0,0.03,0,0.02,0.98,0,0,64.88,0,0,47.83,96.52,0,1.63,0,0.05,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post27",0,0,0,0,0,0,0.07342,0,1.08986,2.72766,0,0.00885,0.18011,0.67223,0,0.06,0.01,0.08,2.59,0,0,51.98,0,0,31.8,33.02,0,0.4,0,0.04,0.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post12",0,0,0,0,0,0.05943,0,0.02547,0.46708,0.30069,0,0,0,0,0,0.02,0,0.02,1.04,0,0,64.81,0,0,51.92,89.39,0,1.68,0,0.05,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post5",0,0,0,0,0.02447,0,0,0.43301,0.40036,0.17182,0.07641,0.02655,0,0,0,0.03,0,0.03,1.12,0,0,64.3,0,0,56.81,72.65,0,0.85,0,0.06,0.7,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_014_post12",0,0,0,0,0,0,0.02447,0,0.13345,0.10739,0,0.02655,0,0,0,0.04,0,0.09,2.27,0,0,74.26,0,0,47.77,79.5,0,0.46,0,0.04,1.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post21",0,0,0,0,0.02447,0.69621,0,0.12736,2.66904,0.34364,0.02547,0,0.48029,0,0.02547,0.03,0,0.03,1.67,0,0,56.29,0,0,44.95,72.79,0,0.93,0,0.03,0.55,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_009_post106",0,0,0,0,0,0.33113,0.02447,0.95942,0.62278,0.10739,0.12736,0.0354,0,0,2.59806,0.03,0.01,0.02,1.57,0.01,0,42.35,0,0,24.64,40.67,0,0.29,0,0.03,0.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_014_post20",0,0,0,0,0,0.00849,0,0,0.55605,0.17182,0,0,0,0,0,0.04,0,0.05,1.64,0,0.01,61.14,0.01,0,34.6,52.88,0,0.56,0,0.07,0.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post13",0,0,0,0,0.02447,0.00849,0,0.38207,6.5169,3.95189,0,0.04426,0.86052,0.67869,0,0.03,0,0.01,0.61,0,0,51.05,0,0,24.94,47.44,0,0.5,0,0.02,0.23,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_009_post95",0,0,0,0.29369,0.07342,0.72168,0,2.29241,0.82295,0.21478,0.3566,0.15047,0,0,3.74427,0.05,0.02,0.06,3.98,0,0,64.63,0,0,23.8,46.16,0,0.38,0,0.03,0.55,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_010_post106",0,0,0,0,0,0,0.02447,0,0.95641,0.17182,0,0,0,0,0,0.03,0.01,0.02,1.98,0,0,55.57,0,0,28.76,56.57,0,0.33,0,0.03,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_009_post96",0,0,0,0.04895,0.02447,0.16132,0,0.3566,0.2669,0.40808,0.02547,0,0,0,0.91696,0.04,0.01,0.06,3.74,0,0,75.74,0,0,26.21,51.78,0,0.34,0,0.04,0.4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post26",0,0,0,0,0,0,0.04895,0,0.4226,0.55842,0,0.00885,0,0.0711,0,0.06,0.02,0.07,2.36,0,0,50.04,0,0,31.17,32.07,0,0.48,0,0.04,0.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post148",0,0,0,0,0,0.61131,0.68527,0.80659,0.40036,0.06443,0.02547,0.00885,0,0,0.05094,0.06,0.01,0.13,1.59,0,0,83.18,0,0,56.28,92.64,0,1.91,0,0.06,0.9,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post28",0,0,0,0,0,0,0.04895,0,2.6468,4.4244,0,0.00885,0.62037,1.04066,0,0.07,0.01,0.09,2.99,0,0,52.64,0,0,36.86,38.34,0,0.59,0,0.06,0.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post33",0,0,0,0,0,0,0.02447,0,1.51246,1.80412,0,0,0.18011,0.34258,3.99898,0.08,0.01,0.13,4.17,0,0,67.73,0,0,50.55,58.45,0,0.56,0,0.06,1.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post6",0,0,0,0,0,0,0,0.28018,0.20018,0.12887,0.02547,0.02655,0,0,0,0.04,0,0.03,0.96,0,0,61.9,0,0,54.38,77.27,0,0.99,0,0.04,0.62,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post21",0,0,0,0,0,0.49244,0,0.07641,1.35676,0.66581,0,0,0.06004,0,0,0.07,0,0.05,1.84,0,0,59.51,0,0,22.31,44.99,0,0.52,0,0.03,0.74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post32",0,0,0,0,0,0,0.07342,0,0.66726,1.35309,0,0.00885,0,0.18745,0.91696,0.07,0.01,0.1,3.57,0,0,58.22,0,0,38.49,39.93,0,0.41,0,0.06,0.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post12",0,0,0,0,0,0.02547,0.02447,0.12736,6.36121,3.99485,0,0.02655,0.94056,0.67869,0,0.03,0,0.02,0.68,0,0,53.83,0,0,26.96,39.25,0,0.4,0,0.02,0.34,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post25",0,0,0,0,0.02447,0.23773,0,0.02547,1.26779,0.30069,0,0,0.24014,0,0.02547,0.03,0,0.03,1.67,0,0,59.7,0,0,47.19,95.45,0,1.13,0,0.02,0.54,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post20",0,0,0,0,0.02447,0.16132,0,0.05094,3.66993,1.86856,0,0,0.58035,0.27148,0,0.06,0,0.04,1.71,0,0,60.47,0,0,23.5,33.08,0,0.54,0,0.02,0.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_007_post147",0,0,0,0,0,0.40754,0.0979,0.47546,0.46708,0.02148,0.05094,0.00885,0,0,0,0.05,0.01,0.11,1.77,0,0,75,0,0,47.18,77.17,0,1.69,0,0.08,1.02,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post17",0,0,0,0,0,0.11038,0,0.07641,1.29004,0.3866,0,0,0.12007,0,0,0.02,0,0.03,1.58,0,0,66.59,0,0,53.56,84.46,0,1.18,0,0.06,0.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post14",0,0,0,0,0,0.00849,0,0.12736,1.22331,0.92354,0,0.04426,0,0,0,0.03,0,0.02,0.77,0,0,56.16,0,0,24.11,43.19,0,0.56,0,0.04,0.27,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post11",0,0,0,0,0,0.12736,0.02447,0.30565,5.53826,3.82302,0,0.02655,0.92055,0.60112,0,0.04,0,0.01,0.71,0,0,50.25,0,0,28.02,34.01,0,0.4,0,0.03,0.37,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_011_post17",0,0,0,0,0.02447,0.7981,0,0.05094,7.629,1.52491,0,0,2.30138,0.34904,0.05094,0.03,0.01,0.04,1.55,0,0,97.95,0,0,17.77,33.11,0,0.57,0,0.02,0.37,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_011_post42",0,0,0,0,0.02447,0.39056,0,0,1.42349,0.02148,0,0,0,0,0.02547,0.03,0.01,0.05,1.75,0,0,91.36,0.01,0,49.08,89.95,0.01,0.75,0,0.05,0.56,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post7",0,0,0,0,0,0.12736,0.02447,0.10188,1.31228,0.64433,0,0,0,0,0,0.05,0,0.03,0.59,0,0,77.7,0,0,44.13,86.37,0,0.86,0,0.03,0.7,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_011_post20",0,0,0,0,0,0.28867,0,0,3.26957,0.70876,0,0,0.5003,0,0,0.04,0.01,0.03,1.88,0,0,66.04,0,0,15.88,50.37,0,0,0,0.02,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_012_post24",0,0,0,0,0.02447,0.11038,0,0.02547,2.37989,0.55842,0,0,0.60036,0,0.02547,0.02,0,0.02,1.4,0,0,59.59,0,0,35.23,68.68,0,1.28,0,0.03,0.37,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_013_post18",0,0,0,0,0.02447,0.03396,0,0.12736,1.93505,1.35309,0.02547,0.0177,0.10006,0.13574,0,0.06,0.01,0.02,0.79,0,0,50.52,0,0,22.43,34.15,0,0.44,0,0.02,0.25,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AML_011_post3",0,0,0,0,0,0,0,0.07641,1.26779,0.15034,0,0,0.06004,0,0,0.03,0.01,0.04,1.08,0,0,85.94,0.01,0,49.13,81.32,0,0.65,0,0.05,0.62,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
